Time,Block,Action,Score,Block Count,systemtime
0,O,768,0,0,14:01:30.504096
13443,I,768,0,1,14:01:31.387866
13634,I,768,0,1,14:01:31.578269
13801,I,768,0,1,14:01:31.745869
13963,I,768,0,1,14:01:31.907504
14141,I,768,0,1,14:01:32.085357
14375,I,768,0,1,14:01:32.319716
14893,J,768,0,2,14:01:32.837829
15066,J,768,0,2,14:01:33.010726
15443,J,768,0,2,14:01:33.387142
15780,J,768,0,2,14:01:33.724402
16868,I,768,0,3,14:01:34.812342
18702,I,768,0,3,14:01:36.646221
19050,I,768,0,3,14:01:36.994211
19490,Z,768,0,4,14:01:37.434932
19679,Z,768,0,4,14:01:37.623465
19860,Z,768,0,4,14:01:37.804714
20152,Z,768,0,4,14:01:38.096575
20369,T,769,10,5,14:01:38.313831
20783,J,768,0,5,14:01:38.727478
21715,J,768,0,5,14:01:39.659944
22073,J,768,0,5,14:01:40.017212
22612,J,768,0,5,14:01:40.556260
22861,J,768,0,5,14:01:40.805374
23358,O,768,0,6,14:01:41.303179
23960,O,768,0,6,14:01:41.904643
24298,I,768,0,7,14:01:42.242563
24491,I,768,0,7,14:01:42.435790
24685,I,768,0,7,14:01:42.629484
24862,I,768,0,7,14:01:42.806305
25163,I,768,0,7,14:01:43.107954
25350,S,769,10,8,14:01:43.294959
25712,S,768,0,8,14:01:43.656890
26359,S,768,0,8,14:01:44.303391
27123,T,768,0,9,14:01:45.067396
27314,T,768,0,9,14:01:45.259293
27663,T,768,0,9,14:01:45.607662
27809,T,768,0,9,14:01:45.754161
28058,T,768,0,9,14:01:46.002551
28288,T,768,0,9,14:01:46.232471
29575,L,768,0,10,14:01:47.519791
29773,L,768,0,10,14:01:47.717389
30550,L,768,0,10,14:01:48.494998
30878,L,768,0,10,14:01:48.823089
31391,I,768,0,11,14:01:49.335833
31561,I,768,0,11,14:01:49.505968
31720,I,768,0,11,14:01:49.665294
31892,I,768,0,11,14:01:49.837404
32041,I,768,0,11,14:01:49.985813
32804,I,768,0,11,14:01:50.749275
33602,I,768,0,12,14:01:51.546964
33773,I,768,0,12,14:01:51.717560
33982,I,768,0,12,14:01:51.926872
35007,I,768,0,12,14:01:52.951891
35330,I,768,0,12,14:01:53.274861
35767,O,768,0,13,14:01:53.712506
35968,O,768,0,13,14:01:53.913535
36252,O,768,0,13,14:01:54.196785
36946,O,768,0,13,14:01:54.891574
37158,L,769,10,14,14:01:55.103577
37627,O,768,0,14,14:01:55.571835
38189,O,768,0,14,14:01:56.134503
38365,O,768,0,14,14:01:56.309861
38731,O,768,0,14,14:01:56.675859
40610,S,768,0,15,14:01:58.555557
40823,S,768,0,15,14:01:58.767790
40983,S,768,0,15,14:01:58.928263
41159,S,768,0,15,14:01:59.104046
41444,S,768,0,15,14:01:59.388864
41963,T,768,0,16,14:01:59.908221
42163,T,768,0,16,14:02:00.108388
42506,T,768,0,16,14:02:00.451706
42917,T,768,0,16,14:02:00.862249
43259,T,768,0,16,14:02:01.204574
44034,T,768,0,17,14:02:01.979386
44369,T,768,0,17,14:02:02.314596
44862,T,768,0,17,14:02:02.807134
45237,T,768,0,17,14:02:03.182044
45779,T,768,0,17,14:02:03.723983
46678,T,768,0,18,14:02:04.623099
47549,T,768,0,18,14:02:05.494354
47687,T,768,0,18,14:02:05.632116
47840,T,768,0,18,14:02:05.785534
48068,T,768,0,18,14:02:06.013088
48247,T,768,0,18,14:02:06.192701
48422,T,768,0,18,14:02:06.367240
48598,T,768,0,18,14:02:06.543077
48778,T,768,0,18,14:02:06.723762
49038,T,768,0,18,14:02:06.983829
50032,S,768,0,19,14:02:07.977912
50300,S,768,0,19,14:02:08.245230
50893,S,768,0,19,14:02:08.838215
51116,S,768,0,19,14:02:09.061254
51696,S,768,0,19,14:02:09.641660
52355,Z,768,0,20,14:02:10.300672
52556,Z,768,0,20,14:02:10.501339
52893,Z,768,0,20,14:02:10.838768
53057,Z,768,0,20,14:02:11.002919
53231,Z,768,0,20,14:02:11.176359
53733,Z,768,0,20,14:02:11.678174
54517,L,768,0,21,14:02:12.462155
55059,L,768,0,21,14:02:13.004193
55196,L,768,0,21,14:02:13.141566
55540,L,768,0,21,14:02:13.485644
55837,L,768,0,21,14:02:13.782605
55959,T,769,10,22,14:02:13.905000
55959,I,769,20,22,14:02:13.905034
55959,L,769,30,22,14:02:13.905063
57107,L,768,0,22,14:02:15.052258
58009,L,768,0,22,14:02:15.954691
58136,I,769,10,23,14:02:16.081883
59274,I,768,0,23,14:02:17.219889
59428,I,768,0,23,14:02:17.373939
59740,I,768,0,23,14:02:17.685706
59978,I,768,0,23,14:02:17.924078
60504,O,768,0,24,14:02:18.449530
61122,O,768,0,24,14:02:19.067562
61164,I,771,10,25,14:02:19.109622
61736,Z,768,0,25,14:02:19.681895
62040,Z,768,0,25,14:02:19.985573
62221,Z,768,0,25,14:02:20.166587
62411,Z,768,0,25,14:02:20.357027
62783,Z,768,0,25,14:02:20.729315
62862,L,771,10,26,14:02:20.807944
63644,O,768,0,26,14:02:21.590154
64053,O,768,0,26,14:02:21.999064
64786,O,768,0,27,14:02:22.732074
65179,O,768,0,27,14:02:23.125435
65385,Z,769,10,28,14:02:23.331385
65837,L,768,0,28,14:02:23.783138
66286,L,768,0,28,14:02:24.232233
66503,L,768,0,28,14:02:24.449054
67182,L,768,0,28,14:02:25.128450
67716,L,768,0,28,14:02:25.661862
68100,L,768,0,28,14:02:26.046473
68254,L,768,0,28,14:02:26.200399
68650,L,768,0,28,14:02:26.596277
69014,L,768,0,28,14:02:26.960096
70391,O,768,0,29,14:02:28.336994
70872,O,768,0,29,14:02:28.817820
71863,T,768,0,30,14:02:29.808957
72028,T,768,0,30,14:02:29.974295
72056,END,999,0,30,14:02:30.002317
